Razón Social,Estado,Municipio,Domicilio,Colonia,C.P.,Teléfono,E-mail,tipo_hospedaje,id_propietario,destino_id
SALON EVENTOS EDIF PRINCIPAL,Quintana Roo,Solidaridad,Carretera FEDERAL PLAYA-CANCUN KM 298 int SN,Colonia SD,77710,9842063046,angelica.martinez@fairmont.com,Hotel,1006,20
EL MIRADOR,Quintana Roo,Solidaridad,Carretera CHETUMAL-PUERTO JUAREZ KM.0309 int SN,Ciudad PLAYA DEL CARMEN,77710,9848772800,parad7@iberostar.com,Hotel,1007,56
LOBBY BAR PARAISO BEACH,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CHETUMAL PUERTO JUAREZ KM 309 int SN,Colonia PLAYA PARAISO,77710,9848772800,parad7@iberostar.com,Hotel,1008,23
RESTAURANTE BAR BLOVED,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CHETUMAL-PUERTO JUAREZ KM 264+500 int NA,Zona federal XPUHA,77790,,mexico.directorastaff@cataloniahotels.com,Hotel,1009,94
CATS LOUNGUE & DISCO BAR,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CHETUMAL-PUERTO JUAREZ KM 264+500 int SD,Zona federal XPUHA,77790,98,mexico.directorastaff@cataloniahotels.com,Hotel,1010,67
SALON PALMA,Quintana Roo,Solidaridad,"Carretera CARRETERA FEDERAL CANCUN PLAYA DEL CARMEN, KM.298 int NA",Ciudad PLAYA DEL CARMEN,77710,9842963046,angelica.martinez@fairmont.com,Hotel,1011,84
AROMES COFFE & LOUNGE,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CHETUMAL-PUERTO JUAREZ KM 306+250 int SD,Zona federal PUNTA MAROMA,77710,9848751020,mexico.directorastaff@cataloniahotels.com,Hotel,1012,35
SALON ACACIA,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CANCUN PLAYA DEL CM KM.298 int NA,Ciudad PLAYA DEL CARMEN,77710,9842063046,angelica.martinez@fairmont.com,Hotel,1013,79
AGAVE AZUL,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL 298 int NA,Colonia EJIDO PLAYA DE L CARMEN,77710,9848758043,ANTONIO.FLORES@ROSEWOODHOTELS.COM,Hotel,1014,104
EL RANCHO,Quintana Roo,Solidaridad,Carretera CHETUMAL-PUERTO JUAREZ KM.309 int SN,Ciudad PLAYA DEL CARMEN,77710,9848772800,parad7@iberostar.com,Hotel,1015,69
RESTAURANTE LA LOLA,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CHETUMAL- PUERTO JUAREZ KM 256 int NA,Ciudad PLAYA DEL CARMEN,77734,9981905899,hector.garcia@asd.com.mx,Hotel,1016,100
SALON PALMA ARECA,Quintana Roo,Solidaridad,Carretera FED. CANCUN PLAYA DEL CARMEN SUC.PALMA ARECA 5 KM 298 int SN,Colonia PLAYA DEL CARMEN CENTRO,77710,9848758043,ANTONIO.FLORES@ROSEWOODHOTELS.COM,Hotel,1017,62
POOL BAR SOL GRILL,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL KM 289+10 MZA 70 int LT 2,Ciudad PLAYA DEL CARMEN,77710,9842063110,AJIMENEZM@ROYALRESORTS.COM,Hotel,1018,60
LA CEIBA,Quintana Roo,Solidaridad,Carretera CARRETERA FEREDAL CANCUN PLAYA DEL CARMEN 289 int NA,Colonia EJIDO,77710,9848758043,ANTONIO.FLORES@ROSEWOODHOTELS.COM,Hotel,1019,56
ON THE WAVES SNACK BAR,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CANCUN PLAYA DEL CARMEN KM 48 int NA,Ciudad PLAYA DEL CARMEN,77710,9842064000,impuestosrm@mayanpalace.com.mx,Hotel,1020,106
STAR CAFE LINDO,Quintana Roo,Solidaridad,Carretera CHETUMAL-PUERTO JUAREZ SUC.II KM.309 int SN,Ciudad PLAYA DEL CARMEN,77710,9848772800,parad7@iberostar.com,Hotel,1021,94
PUNTA BONITA,Quintana Roo,Solidaridad,Carretera FED CANCUN PLAYA DEL CARMEN SUC. PUNTA BONITA 10 SN int KM 298,Colonia PLAYA DEL CARMEN CENTRO,77710,9848758043,ANTONIO.FLORES@ROSEWOODHOTELS.COM,Hotel,1022,76
EL FARO,Quintana Roo,Solidaridad,Carretera CHETUMAL-PUERTO JUAREZ SUC. SNACK EL FARO KM.309 int SN,Colonia PLAYA DEL CARMEN CENTRO,77710,9848772800,parad7@iberostar.com,Hotel,1023,35
SIRENITA,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CHETUMAL - PTO JUAREZ KM 309 int NA,Ciudad PLAYA DEL CARMEN,77710,9848772800,parad7@iberostar.com,Hotel,1024,42
HASHIRU,Quintana Roo,Solidaridad,Carretera FEDERAL CHETUMAL PUERTO JUAREZ KM- 309 int SN,Ciudad PLAYA DEL CARMEN,77710,9848772800,parad7@iberostar.com,Hotel,1025,110
PALAPA MALOO,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL. CHETUMAL-CANCUN KM 264+500 SD int SD,Zona federal SD,77790,9848751020,mexico.directorastaff@cataloniahotels.com,Hotel,1026,32
STAR PRESTIGE,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CHETUMAL-PUERTO JUAREZ KM.309 int SN,Ciudad PLAYA DEL CARMEN,77710,9848772800,parad7@iberostar.com,Hotel,1027,107
LOBBY CAFE BAR TEQUILA,Quintana Roo,Solidaridad,Carretera CARRETERA FED 307 CHETUMAL-PTO.JUAREZ KM 306+250 int SN,Zona federal PUNTA MAROMA,77710,9848751020,mexico.directorastaff@cataloniahotels.com,Hotel,1028,12
CREPERIA BAR LA PALAPA,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL. CHETUMAL-CANCUN KM 264+500 SD int SD,Zona federal SD,77790,9848751020,mexico.directorastaff@cataloniahotels.com,Hotel,1029,36
CASA DEL LAGO,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CANCUN PLAYA DEL CARMEN KM 298 int SN,Colonia PLAYA DEL CARMEN CENTRO,77710,9848758043,ANTONIO.FLORES@ROSEWOODHOTELS.COM,Hotel,1030,113
SALON CORDIA,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CANCUN PLAYA DEL CARMEN K.298 int NA,Ciudad PLAYA DEL CARMEN,77710,9842063046,angelica.martinez@fairmont.com,Hotel,1031,58
RESTAURANTE BAR KINOCO,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL KM.289+10 MZA 70 int LT 2,Ciudad PLAYA DEL CARMEN,77710,9842063110,ajimenezm@royalresorts.com,Hotel,1032,32
CORNER BAR,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CHETUMAL-PUERTO JUAREZ KM 309 int SN,Ciudad PLAYA DEL CARMEN,77710,9848772800,parad7@iberostar.com,Hotel,1033,97
CLUB PLAYA STAR PRESTIGE LINDO,Quintana Roo,Solidaridad,Carretera CHETUMAL-PUERTO JUAREZ KM.309 int SN,Colonia PLAYA DEL CARMEN CENTRO,77710,9848772800,parad7@iberostar.com,Hotel,1034,60
RESTAURANTE LA ADELITA,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CHETUMAL- PUERTO JUAREZ KM 256 int NA,Ciudad PLAYA DEL CARMEN,77710,9981905899,hector.garcia@asd.com.mx,Hotel,1035,73
POOL BAR EL LAGO,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CANCUN PLAYA DEL CARMEN KM. 298 int S/N,Colonia PLAYA DEL CARMEN CENTRO,77710,9848758043,ANTONIO.FLORES@ROSEWOODHOTELS.COM,Hotel,1036,79
CLUB PLAYA STAR PRESTIGE,Quintana Roo,Solidaridad,Carretera FEDERAL CHETUMAL-PUERTO JUAREZ KM.309 int SN,Ciudad PLAYA DEL CARMEN,77710,9848772800,parad7@iberostar.com,Hotel,1037,86
SALON COPAL,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CANCUN PLAYA DEL CARMEN KM 298 int NA,Ciudad PDC,77710,9842063046,angelica.martinez@fairmont.com,Hotel,1038,49
LEMON & SPICES,Quintana Roo,Solidaridad,Carretera CHETUMAL-PUERTO JUAREZ CARRETERA KM 390 int S/N,Ciudad PLAYA DEL CARMEN,77710,9848772800,parad7@iberostar.com,Hotel,1039,44
SALON PALMA KUKA,Quintana Roo,Solidaridad,Carretera FEDERAL CANCUN-PLAYA DEL CARMEN KM 298 int ND,Colonia PLAYA DEL CARMEN CENTRO,77710,9848758043,ANTONIO.FLORES@ROSEWOODHOTELS.COM,Hotel,1040,4
BUFFETE EL MERCADO,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CHETUMAL PUERTO JUAREZ KM 309 int SN,Ciudad PLAY PARAISO,77710,9848772800,parad7@iberostar.com,Hotel,1041,64
FRIGOBAR CUARTOS,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CANCUN PLAYA DEL CARMEN KM 298 int SUC FRIGOBAR CUARTOS,Colonia PLAYA DEL CARMEN CENTRO,77710,9848758043,ANTONIO.FLORES@ROSEWOODHOTELS.COM,Hotel,1042,109
LAS MARGARITAS,Quintana Roo,Solidaridad,Carretera CARRETERA FEDERAL CHETUMAL-CANCUN KM 254+500 int SN,Pueblo PUERTO AVENTURAS,77790,9848751020,mexico.directorastaff@cataloniahotels.com,Hotel,1043,42
EL PUENTE,Quintana Roo,Solidaridad,Camino FEDERAL CHETUMAL-PUERTO JUAREZ KM 309 int SN,Ciudad PLAYA DEL CARMEN,77710,9848772800,,Hotel,1044,24
WYNDHAM GARDEN HOTEL,Quintana Roo,Solidaridad,Avenida PASEO COBA MZA 029 int LT 005,Fraccionamiento PLAYACAR,77710,9841773160,NMORARAQUILLO@YAHOO.COM,Hotel,1045,63
AH XOK SUITES,Quintana Roo,Solidaridad,Avenida 5TA AVENIDA MZA 155 int .,Colonia ZAZIL-HA,77720,9841284210,VPPORTESCAMERO@GMAIL.COM,Hotel,1046,28
HACIENDA PARADISE,Quintana Roo,Solidaridad,Avenida 10 NTE MZA 54 int LT 7 AL 10,Colonia GONZALO GUERRERO,77710,,,Hotel,1047,46
GRUPO CONSTRUCCIÓN PLAYA CAR,Quintana Roo,Solidaridad,Calle 44 NTE MZA 136 int LT 5 Y 6,Colonia ZAZIL- HA,77720,9981677938,CLEMENCIA_GPE@HOTMAIL.COM,Hotel,1048,103
THE REEF COCO BEACH,Quintana Roo,Solidaridad,Calle COSTERA NORTE MZA 7 int LT 1,Colonia ZAZIL HA,77710,9841506342,THALY_EE@OUTLOOK.COM,Hotel,1049,34
SUITES CIELOS Y MAR,Quintana Roo,Solidaridad,Calle PCN COLOSIO MZA 426 int LT 3 Y 4,Colonia LUIS DONALDO COLOSIO,77728,9841309808,ADMON8017@GMAIL.COM,Hotel,1050,44
HOTEL DORADO MAROMA,Quintana Roo,Solidaridad,Carretera FEDERAL - TULUM KM 55.3 int SN,Colonia CENTRO,77710,,JMIS@ELDORADOROYALE.COM.MX,Hotel,1051,36
NICKELODEON HOTELS Y RESORTS RIVIERA MAYA,Quintana Roo,Solidaridad,Carretera FEDERAL CANCUN- PLAYA DEL CARMEN KM 313 int .,Colonia ZONA TURISTICA,77710,,ASISTENTEFISCAL@ELDORADOROYALE.COM.MX,Hotel,1052,113
HOTEL EL DORADO EL ROYALE,Quintana Roo,Solidaridad,Carretera PUERTO MORELOS - PLAYA DEL CARMEN SN int SN,Colonia CENTRO,77710,,,Hotel,1053,77
GRANN HOTEL,San Luis Potosí,Ciudad Valles,Boulevard MEXICO - LAREDO 47 int /,Colonia ZONA CENTRO,79000,4813820016,,Hotel,1054,90
HOTEL POPEYE,San Luis Potosí,Ciudad Valles,Calle PRIMERA 919 int *,Ciudad VALLES,79084,,,Hotel,1055,113
HOTEL CASA ORTIZ,San Luis Potosí,Ciudad Valles,Calle NIÑOS HEROES 450 int S/N,Colonia ROTARIOS,79080,,,Hotel,1056,36
HOTEL GRAN POSADA,San Luis Potosí,Xilitla,Calle CORREGIDORA 105 int /,Colonia ZONA CENTRO,79900,4893650023,GRANNHOTELRESERVA@GMAIL.COM,Hotel,1057,72
HOTEL BEST WESTERN,Sinaloa,Ahome,Avenida ALVARO OBREGON 691 PTE int S.N.,Colonia CENTRO,81200,6688163000,GERENCIA@BESTWESTERNLM.COM,Hotel,1058,2
HOTEL IBIS,Sinaloa,Ahome,Boulevard ROSALES 800 int S.N.,Colonia CENTRO,81200,6685003100,H9369-GI@ACCOR.COM,Hotel,1059,67
HOTEL CITY EXPRESS,Sinaloa,Ahome,Boulevard CENTENARIO 1135 int S/N,Colonia LAS DELICIAS,81277,6688169800,CELMM.CONTADOR@CITYEXPRESS.COM.MX,Hotel,1060,25
HOTEL DEL VALLE,Sinaloa,Culiacán,Boulevard GABRIEL LEYVA SOLANO 180 int NA,Colonia CENRO,80000,6677139080,,Hotel,1061,11
MOTEL DIX,Sinaloa,Culiacán,Boulevard CARRETERA  CULIACAN EL DORADO 6883 int NA,Ejido EL DIEZ,80300,6677605910,,Hotel,1062,31
HOTEL CASTILLA,Sinaloa,Culiacán,Calle BENITO JUAREZ 233 int NA,Colonia CENTRO,80000,6672191254,,Hotel,1063,93
HOTEL FRANCO,Sinaloa,El Fuerte,Calle OBREGON 403 int S/N,Colonia CENTRO,81200,6988895210,cecyfranco22@hotmail.com,Hotel,1064,53
HOTEL HEREDIA,Sinaloa,Salvador Alvarado,Avenida MARIANO ESCOBEDO 55 int s/n,Colonia JUÁREZ,81450,6737341477,eredia@hotmail.com,Hotel,1065,63
HOTEL DAVIMAR,Sinaloa,Salvador Alvarado,Boulevard ANTONIO ROSALES 369 int s/n,Colonia CENTRO,81400,6737325660,davimar_3@hotmail.com,Hotel,1066,72
HOTEL DOLISA,Sonora,Alamos,Calle MADERO 72 int S/N,Colonia CHURUBUSCO,85760,6474280131,,Hotel,1067,98
HOTEL ARAIZA,Sonora,Hermosillo,Boulevard FRANCISCO EUSEBIO KINO 353 int X,Colonia LOMAS PITIC,83010,6621091700,adminhmo@araizahoteles.com,Hotel,1068,31
HOTEL BOOYE,Sonora,Navojoa,Avenida PESQUEIRA  PROLONGACION NORTE 838 int 838,Colonia REFORMA,85830,6424212888,nidia.hinojosa@imss.gob.mx,Hotel,1069,89
HOTEL CALIFORNIA DE NAVOJOA,Sonora,Navojoa,Calle PESQUEIRA 413 int S/N,Colonia REFORMA,85830,6424212878,,Hotel,1070,61
MOTEL VILLAS LAS FUENTES,Sonora,Navojoa,Calle ENRIQUE DURAN SUR 829-A int S/N,Colonia LOS MORALES,81460,,,Hotel,1071,83
HOTEL FIESTA,Sonora,Navojoa,Calle PESQUEIRA 921 int S/N,Colonia REFORMA,85800,6424259800,,Hotel,1072,92
HACIENDA CAZADORES,Sonora,Navojoa,Carretera INTERNACIONAL S/N int S/N,Colonia NO TIENE,85800,6424229300,,Hotel,1073,63
MOTEL PLAYA AZUL,Tamaulipas,Altamira,Avenida JUAN DE VILLATORO 100 int S/N,Colonia JUSTO SIERRA,89609,8332260317,MOTELATINOTAMPICO@GMAIL.COM,Hotel,1074,58
HOTEL BONITTO INN,Tamaulipas,Altamira,Avenida DE LA INDUSTRIA 18100 int S/N,"Fraccionamiento MONTE ALTO, SIPLOBADUR",89606,8332267450,LHTMORALES@HOTMAIL.COM,Hotel,1075,102
HOTEL POSADA LORENCILLO,Tamaulipas,Ciudad Madero,Boulevard COSTERO 11 int S/N,Colonia MIRAMAR,89540,8332690090,RESERVACIONES@LORENCILLOMIRAMAR.COM,Hotel,1076,3
HOTEL MARIA ELENA,Tamaulipas,Ciudad Madero,Calle SONORA 307 SUR int S/N,Colonia 1RO DE MAYO,89450,8332103683,,Hotel,1077,12
HOTEL CAPACHA,Tamaulipas,Ciudad Madero,Calle EMILIO CARRANZA 1912 PTE int S/N,Colonia LOMA DEL GALLO,89440,8332153338,jorgecapacha@hotmail.com,Hotel,1078,38
HOTEL SUITES EJECUTIVAS,Tamaulipas,Ciudad Madero,Calle IGNACIO RAMIREZ 1408 int S/N,Colonia RICARDO FLORES MAGON,89460,8332105048,HOTELSUITES2011@HOTMAIL.COM,Hotel,1079,29
MEDITERRANEO,Tamaulipas,Ciudad Madero,Avenida TAMAULIPAS 307 int NA,Colonia LOS PINOS,89513,8332566565,informes@hotelmediterraneotampico.com.mx,Hotel,1080,52
HOTEL TRES SOLES,Tamaulipas,Ciudad Madero,Avenida FRANCISCO I. MADERO NTE 171 int NA,Colonia EMILIO CARRANZA,89540,8332690806,soniaxico05@hotmail.com,Hotel,1081,89
CLUB MAEVA MIRAMAR,Tamaulipas,Ciudad Madero,Boulevard COSTERO S/N int NA,Colonia MIRAMAR,89540,8332300202,silverio@maevamiramar.com.mx,Hotel,1082,32
HOTEL CUMBRES DEL CIELO S.A DE C.V,Tamaulipas,Gómez Farías,Calle HIDALGO NA int NA,Ciudad CENTRO,89780,8311316533,,Hotel,1083,40
HOTEL BONITO INN,Tamaulipas,González,Avenida INSURGENTES 402 int S/N,Condominio ESTACION MANUEL,89730,,,Hotel,1084,85
HOTEL BONITTO INN,Tamaulipas,González,Carretera TAMPICO-MANTE 575 PTE. int S/N,Colonia CENTRO,89700,8332267450,LHTMORALES@HOTMAIL.COM,Hotel,1085,75
HOTEL CHAVARRIA,Tamaulipas,El Mante,Calle AHUEHUETE 104 int SN,Colonia ALTAVISTA I,89880,8312324316,,Hotel,1086,48
LOSANTO INMOBILIARIA S.A DE C.V,Tamaulipas,Matamoros,Calle MATAMOROS 612 int SN,Colonia MATAMOROS CENTRO,87300,8681154466,,Hotel,1087,61
HOTEL VENEZIA,Tamaulipas,Matamoros,Calle FRANCIASCO VILLA 1 int .,Colonia NORBERTO TREVIÑO ZAPATA,87450,,,Hotel,1088,71
HOTEL VIRREY,Tamaulipas,Reynosa,Boulevard HIDALGO S/N int .,Colonia DEL BOSQUE,88670,8991161396,cpjlbanda863@gmail.com,Hotel,1089,68
HOTEL HOLIDAY INN,Tamaulipas,Reynosa,Calle EMILIO PORTES GIL 703 int .,Colonia PRADO SUR,88560,8999216500,ROSY.BOCANEGRA@HINNREX.COM,Hotel,1090,45
CITY EXPRESS AEROPUERTO,Tamaulipas,Reynosa,Carretera REYNOSA-MATAMOROS KM. 81 + 1500 S/N int .,Parque industrial PARQUE INDUSTRIAL DEL NORTE,88788,8995002700,,Hotel,1091,55
HOTEL LAS FLORES,Tamaulipas,Río Bravo,Avenida BENITO JUAREZ 211 int SIN NUMERO,Colonia CENTRO NUEVO PROGRESO,88810,8999370681,,Hotel,1092,96
GRUPO COLOME,Tamaulipas,Soto la Marina,Calle MANUEL ACUÑA 399 int -,Colonia JUVENTUD REVOLUCIONARIA,87670,8351002301,sim_oficinas@hotmail.com,Hotel,1093,71
HOTEL HAMPTON INN,Tamaulipas,Tampico,Avenida HIDALGO 6602 int -,Colonia ARENAL,89344,8332304500,BCASTILLO@GRUPOFRANSUN.COM.MX,Hotel,1094,43
HOTEL GRAND ROYAL,Tamaulipas,Tampico,Avenida HIDALGO 6814 int -------,Colonia ARENAL,89344,8332280825,informes@hgr.com.mx,Hotel,1095,46
HOTEL SAN ANTONIO,Tamaulipas,Tampico,Avenida MIGUEL HIDALGO Y COSTILLA 3317 int ----------,Colonia GUADALUPE,89120,8332130165,georgina.huezo@hotelsanantonio.com.mx,Hotel,1096,90
HS HOTSSON HOTEL & RESORTS,Tamaulipas,Tampico,Avenida HIDALGO 2000 int -,Colonia SMITH,89140,8332293541,,Hotel,1097,59
CITY EXPRESS BY MARRIOT TAMPICO,Tamaulipas,Tampico,Avenida MIGUEL HIDALGO 5820 int SIN DATO,Colonia LOMAS DEL CHAIREL,89360,8332301350,,Hotel,1098,35
HOTEL CONCHITA,Tamaulipas,Tampico,Calle FRANCISCO I MADERO 814 OTE int SIN DATO,Colonia TAMPICO CENTRO,89000,8332123841,,Hotel,1099,40
RAMADA BY WYNDHAM TAMPICO,Tamaulipas,Tampico,Calle FRANCISCO I MADERO 206 int SIN DATO,Colonia TAMPICO CENTRO,89000,8331104575,,Hotel,1100,33
HOTEL CECILIA,Tamaulipas,Tampico,Calle GENARO SALINAS 117 int -,Colonia TAMPICO CENTRO,89000,8332120447,jesusalatorre35@gmail.com,Hotel,1101,30
HS HOTSSON HOTEL & RESORTS,Tamaulipas,Tampico,Calle COLON 102 int .,Colonia CENTRO,89000,8332303434,,Hotel,1102,16
HOTEL IMPALA DE TAMPICO,Tamaulipas,Tampico,Calle SALVADOR DÍAZ MIRÓN 220 int -,Colonia ZONA CENTRO,89000,8332120990,recepcionimpalaxml@outlook.com,Hotel,1103,93
HOTEL PANUCO,Tamaulipas,Tampico,Calle PEDRO J MENDEZ 106 int -,Colonia ZONA CENTRO,89000,,,Hotel,1104,25
HOTEL MANSION DEL GENERAL,Tamaulipas,Tampico,Calle EMILIO CARRANZA 813 OTE. int -,Colonia TAMPICO CENTRO,89000,8332122873,hotelmansiondelgeneral@live.com,Hotel,1105,41
HOTEL MONTECARLO,Tamaulipas,Tampico,Calle CESAR LOPEZ DE LARA 107 int NTE,Colonia TAMPICO CENTRO,89000,8332190450,,Hotel,1106,16
HOTEL MANDARIN,Tamaulipas,Tampico,Calle ISAURO ALFARO 112 int SIN DATO,Colonia ZONA CENTRO,89000,8333076330,,Hotel,1107,96
HOTEL RIVERA,Tamaulipas,Tampico,Calle ROSALIO BUSTAMANTE 2509 int -,Colonia FRENTE DEMOCRATICO,89160,8332134395,,Hotel,1108,69
HOTEL INGLATERRA,Tamaulipas,Tampico,Calle SALVADOR DÍAZ MIRÓN 116 int -,Colonia ZONA CENTRO,89000,8332304440,recepcion_hotel@hotmail.com,Hotel,1109,98
HOTEL MARSELLA,Tamaulipas,Tampico,Calle ALTAMIRA 220 int SIN DATO,Colonia ZONA CENTRO,89000,8332293800,,Hotel,1110,89
HOTEL POSADA DE TAMPICO,Tamaulipas,Tampico,Prolongación AVENIDA HIDALGO 5300 int -,Fraccionamiento LOMAS DEL CHAIREL,89360,8332301010,posada_conta@live.com.mx,Hotel,1111,24
HOTEL AREYMA,Tamaulipas,Tampico,Carretera TAMPICO MANTE KM 4.8 int -,Colonia ARENAL,89348,8332283118,,Hotel,1112,25
MOTEL LATINO,Tamaulipas,Tampico,Avenida JUAN VILLATORO 317 int S/N,Colonia VILLAHERMOSA,89319,8332260432,MOTELLATINO@GMAIL.COM,Hotel,1113,28
HOTEL FIESTA INN,Tamaulipas,Tampico,Avenida HIDALGO 6106 int S/N,Colonia LAGUNA DE LA HERRADURA,89219,8332300500,COMPRASFITAM@POSADAS.COM,Hotel,1114,95
INVERSIONES HOTELERAS LAGUNA,Tamaulipas,Tampico,Avenida MIGUEL HIDALGO 6106 int S/N,Colonia LAGUNA DE LA HERRADURA,89216,8332300500,,Hotel,1115,62
HOTEL BONITTO INN,Tamaulipas,Tampico,Avenida HIDALGO 5101 int S/N,Colonia LOMAS DE LA AURORA,89100,8332267450,LHTMORALES@HOTMAIL.COM,Hotel,1116,36
SERTURTAM,Tamaulipas,Tampico,Avenida EJERCITO MEXICANO 1435 int S/N,Colonia LOMA DEL GALLO,89460,8332169070,,Hotel,1117,93
OPERADORA BARRAL,Tamaulipas,Tampico,Calle CORREDOR URBANO LUSI DONALDO COLOSIO 3-375 int S/N,Condominio COL PLAYA MIRAMAR,89130,,,Hotel,1118,76
HOTEL PUERTO BELLO,Tamaulipas,Tampico,Calle 16 DE SEPTIEMBRE 1716 int S/N,Colonia FRENTE DEMOCRATICO,89160,8332154097,,Hotel,1119,98
HOTELERA CARCUR CASTAÑEDA,Tamaulipas,Victoria,Boulevard TAMAULIPAS 2539 int -,Colonia RESIDENCIAL CABAÑAS,87025,,,Hotel,1120,68
HOTELERIA Y SERVICIOS REFORMA SA DE CV,Tamaulipas,Victoria,Calle BLVD.TAMAULIPAS E/BLVD.LOPEZ MATEOS Y BAJA CALIFORNIA 890 int -,Colonia SIERRA GORDA,87050,8341849000,cecvm.contador@cityexpress.com.mx,Hotel,1121,77
"CIUDAD ANTIGUA , DESARROLLOS DE INVERSION",Tamaulipas,Victoria,Calle EMILIANO P. NAFARRETE 742 int C,Colonia ZONA CENTRO,87000,8343169706,ciudad_antigua@hotmail.com,Hotel,1122,37
HOTEL EVEREST,Tamaulipas,Victoria,Calle CRISTOBAL COLON 2126 int -,Colonia CENTRO,87000,8343187070,facturacion@hoteleverest.com.mx,Hotel,1123,13
HOTELERA CARCUR CASTAÑEDA S.A. DE C.V.,Tamaulipas,Victoria,Calle CRISTOBAL COLON 349 int -,Colonia ZONA CENTRO,87000,8343187070,NGARCIA@GRUPOCARCUR.COM.MX,Hotel,1124,107
SIN NOMBRE,Tamaulipas,Victoria,Calle LAURO RENDON 921 int -,Colonia CIUDAD VICTORIA CENTRO,87033,8341113990,,Hotel,1125,25
HOTEL QUINTA SAN JORGE,Tamaulipas,Victoria,Calle CALLEJON 3 S/N int -,Colonia BARRIO JICOTE,87900,8115876014,aly.ramirez@hotmail.com,Hotel,1126,38
VIAJES PARADISE,Tamaulipas,Victoria,Calle AV. NORBERTO TREVIÑO ZAPATA 3577 int SN,Barrio MAGISTERIAL,87026,8343144975,VPARADIS@PRODIGY.NET.MX,Hotel,1127,30
SERVICIOS HOSTAL S.A. DE C.V.,Tamaulipas,Victoria,Calle HIDALGO OTE 990 int -,Colonia CIUDAD VICTORIA CENTRO,87000,8343124821,SIERRAGORDA.HOTEL@GMAIL.COM,Hotel,1128,47
MOTEL PANORAMICO,Tamaulipas,Victoria,Calle REPUBLICA DE ARGENTINA OTE. S/N int -,Colonia PEDRO SOSA,87120,,,Hotel,1129,23
HOTEL LAS FUENTES DE VICTORIA S.A. DE C.V.,Tamaulipas,Victoria,Carretera CARRETERA NACIONAL KM. 227 S/N int S/N,Colonia CIUDAD VICTORIA CENTRO,87000,8343125811,VENTASCDVICTORIA@HOTELESMISION.COM,Hotel,1130,39
SIN NOMBRE,Tlaxcala,Huamantla,Calle JUAREZ NORTE 209 int sn,Colonia HUAMANTLA,90500,2471013622,CANACOPE@APIZACO.PODERNET.COM.MX,Hotel,1131,2
CAREVA,Veracruz de Ignacio de la Llave,Actopan,Calle 16 DE SEPTIEMBRE 49A int N/A,Colonia CENTRO DEL VALLE,91480,2798225164,AVENTURA.CAREVA@GMAIL.COM,Hotel,1132,91
HOTEL,Veracruz de Ignacio de la Llave,Alto Lucero de Gutiérrez Barrios,Avenida DEL CONGRESO SUR 49 int ****,Barrio ALTO LUCERO,91460,2288217584,*****,Hotel,1133,69
HOTEL BIENVENIDO,Veracruz de Ignacio de la Llave,La Antigua,Avenida JOSÉ CARDEL 1 int NA,Colonia CENTRO,91680,2969620763,HBIENVENIDO@PRODIGY.NET.MX,Hotel,1134,17
HOTEL SAN FRANCISCO,Veracruz de Ignacio de la Llave,La Antigua,Avenida MARTIREZ 7 DE ENERO S/N int NA,Colonia JOSE CARDEL CENTRO,91680,2969620492,hotelsanfrancisco@outlook.es,Hotel,1135,36
HOTEL LA ESTACIÓN,Veracruz de Ignacio de la Llave,La Antigua,Calle VENUSTIANO CARRANZA 53 int NA,Colonia CENTRO,91680,2969623030,GRUPO.LAGRO@YAHOO.COM.MX,Hotel,1136,6
HOTELES SIN OTROS SERVICIOS INTEGRADOS,Veracruz de Ignacio de la Llave,Banderilla,Calle CARRETERA FEDERAL KM 325 SN int N/T,Ampliación BANDERILLA,91300,2288110270,,Hotel,1137,7
GRAN HOTEL AVION,Veracruz de Ignacio de la Llave,Banderilla,Carretera CARRT NACIONAL MEXICO-VERACRUZ KM 324 S/N int S/N,Colonia BANDERILLA CENTRO,91300,2288110368,,Hotel,1138,71
